R,W,Tr,Frac_b,V,A,C,Taub,t,Ia,In,Ik,Iyb,Inb,Ic,Iprofit,Ib,Iλ,Iv
1.0417609577843583,1.145910692788825,0.6525644442439594,0.23925560475171118,-69.50594820313027,13.408466593985297,1.7524763194227115,0.2,0,13.408392213082973,-0.7343584953100486,3.171463240454157,0.8546435650648408,0.2461207302159033,1.7525696088666332,0.3101378532355733,0.2392556047517113,0.46447418640336813,-69.50215203611718
1.0422314101786865,1.1376100926500854,0.6676322424352216,0.2501062655447268,-68.3233687532946,13.43001939072357,1.7803287580578881,0.22150000000000003,1,13.42959084892754,-0.7243131483501196,3.352076227994465,0.9381384118293662,0.27301993728801116,1.781938420188052,0.3488359630653346,0.2433967764165814,0.45268532905708647,-68.20681976910602
1.042247526856476,1.137326902580626,0.679729408717248,0.24361266824359462,-68.29617762485054,13.451295423153946,1.783345478529107,0.24192500000000006,2,13.450080504767827,-0.7369139310564691,3.259225379152693,0.913413973382663,0.2658521725104937,1.784288239956622,0.33999793649517385,0.23669729377060378,0.4514906180987195,-68.19274880372414
1.0422708505649816,1.136919196553603,0.6906265304342094,0.23713470884667764,-68.27118213932515,13.471912403564454,1.786129638798564,0.26132875000000005,3,13.469791347218262,-0.748970569017202,3.170959982648843,0.8896745395144863,0.25897231484570554,1.7865269619144828,0.3314359677349523,0.23029950684183953,0.4503643686626724,-68.17942698244389
1.042295504235227,1.1364887941132473,0.7005450018713834,0.2308240352311488,-68.24818285221734,13.491722139713271,1.788714725787323,0.27976231250000005,4,13.48870755906417,-0.7604678461096489,3.0872462468625432,0.8670241897035547,0.2524100127015139,1.788660599472576,0.3232232361724156,0.22419425120862518,0.44929937977049494,-68.16681420756281
1.042319806371035,1.1360648611890443,0.7096158437813259,0.22473855483251512,-68.22700297290748,13.510673296488795,1.7911242350338321,0.29727419687500006,5,13.506839729504124,-0.7714164212848407,3.0078426015833752,0.8454574111612014,0.24616279784612832,1.7906954723018242,0.31537694271871974,0.21837388214917247,0.44829068583694176,-68.15487334993523
1.0423432556131478,1.135656088449159,0.7179338507899238,0.21890000201889628,-68.20748449539744,13.528760420235832,1.7933749132379186,0.3139104870312501,6,13.524209104838302,-0.7818369449913711,2.9324831041468924,0.8249351206624664,0.2402187387386222,1.7926363761165347,0.307893561458807,0.21282879929189258,0.44733500860467657,-68.14357042702683
1.0423656995691786,1.1352650986967858,0.7255753305425523,0.2133145469194138,-68.18948447294002,13.546001543908343,1.7954800668085973,0.3297149626796876,7,13.540841627533505,-0.7917530548812692,2.8609203435784263,0.805409461612403,0.23456359430457174,1.794487413250563,0.300761937549767,0.20754815663164322,0.4464298551720992,-68.13287341468723
1.0423870971105758,1.134892575714857,0.7326049965194307,0.20798087358725229,-68.17287285732225,13.562427105576713,1.7974509688145808,0.3447292145457032,8,13.55676549584062,-0.8011887101178751,2.792931417428248,0.7868317505625307,0.22918303566425968,1.7962522137908432,0.29396819038149147,0.2025205899918605,0.44557322978585345,-68.12275171440086
1.0424074460296793,1.1345385245532946,0.7390792200256582,0.2028937755219349,-68.15753100604282,13.578073687909704,1.7992977993291175,0.35899275381841805,9,13.572009862281762,-0.810167218763689,2.7283151861697945,0.7691549355904623,0.22406329801547584,1.797934265395512,0.287497642686465,0.19773468856648202,0.4447632574646868,-68.1131758145132
1.042426760369579,1.1342026680578954,0.745047838273553,0.19804591900779359,-68.14335072363696,13.592980319491877,1.8010299822695746,0.37254311612749713,10,13.586604029402595,-0.818710929277852,2.6668882997855983,0.7523342236484036,0.21919132601597902,1.7995370515473335,0.281335603136936,0.1931792451640247,0.44399803082966827,-68.10411721465212
1.042445062214812,1.1338845910258109,0.7505553233490602,0.19342880981973462,-68.13023349099133,13.607186260831709,1.802656302223435,0.3854159603211223,11,13.600576933842234,-0.8268411523468677,2.6084818757720685,0.7363271482851412,0.21455477186647692,1.8010640655975565,0.2754677067267082,0.18884338962068242,0.44327558849310933,-68.09554846691253
1.042462378119146,1.1335838030175758,0.7556416036435958,0.18903336591961106,-68.11808975774983,13.620729785000236,1.8041848609662523,0.3976451623050662,12,13.613956803766499,-0.8345781608053638,2.552939047046566,0.721093482401348,0.2101419570643741,1.8025187978225505,0.26988007150496574,0.18471665846689295,0.4425939177001598,-68.08744323756797
1.0424787373820419,1.1332997685846204,0.7603426799039906,0.18485026819087322,-68.10683819403798,13.63364754905621,1.805623065128298,0.40926290418981287,13,13.626770942732195,-0.8419412232700427,2.500113194317761,0.7065951084646391,0.20594182726077373,1.8039046964363374,0.2645593651961542,0.18078902277453796,0.44195099034969815,-68.0797763655654
1.0424941710445519,1.1330319247473744,0.7646911120684108,0.18087018429484628,-68.09640494082251,13.645974277157848,1.8069776852441837,0.42029975898032224,14,13.639045605397898,-0.8489486475022069,2.449866666681636,0.6927958894320532,0.20194391032666364,1.805225129883354,0.2594928290876958,0.1770508962490105,0.44134479718214403,-68.07252389419331
1.0425087113783529,1.1327796897847138,0.768716412063925,0.17708391062166148,-68.08672291812366,13.657742657581492,1.8082548832507592,0.4307847710313062,15,13.650805932834372,-0.8556178265063471,2.402069825919806,0.6796615484788977,0.1981382786925876,1.806483360850521,0.25466827939904707,0.17349313149972345,0.44077337266244954,-68.06566307569418
1.0425223914353332,1.1325424709003693,0.77244537570612,0.17348246392537783,-68.0777311681355,13.668983349295434,1.8094602682559602,0.44074553247974085,16,13.662075928779416,-0.8619652850423272,2.356600297400173,0.667159557368747,0.1945155152068772,1.8076825282508,0.2500740963734801,0.17010700936388104,0.4402348131990134,-68.05917235591131
