Row,Description,Expression,Value
1,GDI,Y,100.0
2,Comp,WN,45.2
3,CompCC,WNc,35.9
4,CompPB,WNb,9.3
5,Sweat,Pib,11.3
6,NOS,rK,24.6
7,NOSCC,rcKc,20.6
8,NOSPB,rKb,4.0
9,Depr,dK,18.9
10,GDP,Y,100.0
11,Cons,C,69.4
12,Defense,G,2.5
13,Inve,dgK,28.1
14,GRev,Tax,26.4
15,Taxw,Tw,15.8
16,Taxb,Tb,2.3
17,Taxp,Tp,4.1
18,Taxc,Tc,4.2
19,GExp,GTiB,26.4
20,Defense,G,2.5
21,Trans,T,21.2
22,Netint,iB,2.6
23,Wealth,A,5.7
24,WealthB,Ab,2.3
25,WealthW,Aw,3.4
26,LoansB,Lb,16.0
27,NumCon,Nfc,11.1
28,CapCon,Kfc,35.8
