τb,τw,r,tr,diffv,diffasset,diffgbc,Rss,Wss,Trss,Frac_bss,Vss,Ass,Css,value
0.21,0.4,0.041342688115778625,0.6411601854054009,9.708403169422291e-5,3.681421101531246e-5,-1.0112050323307642e-5,1.0413426881157786,1.160060396912443,0.6411601854054009,0.22843591123908302,-69.9253308035333,13.138116001074517,1.7306905003754587,-69.93364930556844
0.27,0.4,0.04153395911373407,0.6713360954784954,9.674920301393031e-5,6.53717145823185e-5,-1.7580586321397362e-5,1.041533959113734,1.1567864859190822,0.6713360954784954,0.21083732452659754,-69.61925522698718,13.208696717255098,1.7452379311973645,-69.65827386379577
0.33,0.4,0.041701715903540965,0.6990987262926389,9.745341775791568e-5,4.859511530952432e-6,-1.3859026442020195e-6,1.0417017159035409,1.15393023207284,0.6990987262926389,0.1930724014114356,-69.35341331349309,13.275030104538498,1.7583771374903685,-69.44776875423948
0.39,0.4,0.04185102899016646,0.7239921220994242,9.681711137349505e-5,9.11047168117296e-6,-2.9392511748937977e-6,1.0418510289901666,1.15139984169313,0.7239921220994242,0.17507606181243787,-69.13462455926626,13.336584487461138,1.7696375935493522,-69.26017558165661
0.45,0.4,0.0419891019315656,0.745793329817007,9.579701493560495e-5,1.887802218547563e-5,-7.592788276555851e-6,1.0419891019315657,1.149069792515163,0.745793329817007,0.1563695598797843,-68.96558301252678,13.393561148479805,1.7788249124512003,-69.11261336138877
0.51,0.4,0.042126726827877096,0.7640717535692407,9.688909414769418e-5,6.522236731254516e-6,-3.972679250008326e-6,1.042126726827877,1.1467566700594443,0.7640717535692407,0.13654016032639185,-68.85182491114152,13.446982992339276,1.7857523094372294,-69.00709764886997
0.57,0.4,0.04227561802082755,0.7781105241957,9.625730058628761e-5,5.0846490977751735e-5,-4.230083781520122e-5,1.0422756180208275,1.1442646547560553,0.7781105241957,0.1155358902821367,-68.80361898641223,13.498807144451323,1.7901096054292598,-68.95109806851852
0.63,0.4,0.0424345727204432,0.7872759042081062,9.572946020384535e-5,3.3552517478829813e-6,-6.987455738949322e-5,1.0424345727204432,1.141616130895296,0.7872759042081062,0.09387433870370071,-68.82719839592075,13.549717175617943,1.791758148514464,-68.95321492305773
0.69,0.4,0.04258826992720975,0.7913944666977103,9.7655923229698e-5,-6.597361146720715e-6,1.5957328494131673e-6,1.0425882699272098,1.1390668410365818,0.7913944666977103,0.07289809088594935,-68.91879405879402,13.599290457730367,1.790953847652653,-69.01869773997136
0.75,0.4,0.042715229790687516,0.7911845086456804,9.622050719110161e-5,-2.7343075237329373e-6,1.575255896968386e-5,1.0427152297906874,1.1369695995210507,0.7911845086456804,0.054376904916751165,-69.06297372850531,13.64111285200735,1.7882053268151377,-69.13858563226722
