Row,Description,Expression,Value
1,GDI,Y,100.0
2,Comp,WN,44.9
3,CompCC,WNc,35.1
4,CompPB,WNb,9.8
5,Sweat,Pib,11.0
6,NOS,rK,23.2
7,NOSCC,rcKc,18.9
8,NOSPB,rKb,4.3
9,Depr,dK,20.9
10,GDP,Y,100.0
11,Cons,C,64.3
12,Defense,G,4.7
13,Inve,dgK,31.0
14,GRev,Tax,26.5
15,Taxw,Tw,16.6
16,Taxb,Tb,2.2
17,Taxp,Tp,3.8
18,Taxc,Tc,3.9
19,GExp,GTiB,26.5
20,Defense,G,4.7
21,Trans,T,19.5
22,Netint,iB,2.3
23,Wealth,A,6.4
24,WealthB,Ab,2.3
25,WealthW,Aw,4.0
26,LoansB,Lb,6.0
27,NumCon,Nfc,15.1
28,CapCon,Kfc,26.7
