R,W,Tr,Frac_b,V,A,C,Taub,t,Ia,In,Ik,Iyb,Inb,Ic,Iprofit,Ib,Iv,AssetMarketResidual,GBCResidual
1.0386777020036768,1.3234898415611311,0.46806124541903127,0.3581550299613414,-69.08511443442039,15.232531435982132,1.5480452405715335,0.2,0,15.232536263881725,-0.6302008503796279,2.8971999792081373,0.7360845806622913,0.183535909374289,1.5480425683136352,0.26233443245532995,0.3581550299613414,-69.08390856353041,0.0,0.0
1.0397144608452134,1.304565296457602,0.5211378214605751,0.3359643016152439,-68.82333247638006,15.242218110777628,1.5499094319572162,0.4,1,15.242244586844745,-0.6694582731351105,2.5985614653715086,0.6673094761761323,0.1687587923501513,1.5499682337769234,0.2373944692003987,0.3359562499695084,-68.82178812399988,-0.0010411343491668538,0.0008490734703185973
1.0396738350492487,1.305296927150524,0.5213460623259761,0.3359600902724899,-68.81909291010666,15.251321736847014,1.5504414992776616,0.4,2,15.251369763397674,-0.6699522008925854,2.5901327633594375,0.6656736037426497,0.16825786817178986,1.5504965495625351,0.23707507273391235,0.335952123372046,-68.81760238754595,-0.0005148454513292632,0.0008119538179600575
1.0396401047757513,1.305904966056815,0.5215373124332582,0.335954307733153,-68.81502914442666,15.25994629875569,1.5509554653907571,0.4,3,15.260013295393016,-0.6702582576603846,2.585706621575139,0.6647298742124089,0.16794567900668786,1.5510070916816951,0.23688192588639104,0.33594647132012745,-68.81358844068575,-0.000561053853841187,0.0007657465490764926
1.0396105061149137,1.3064389718198166,0.5217165055112799,0.33594521975352787,-68.81113573935475,15.268151727790077,1.5514502630762261,0.4,4,15.268235499519676,-0.6704755802195645,2.5832002105281404,0.6641197245379483,0.167726260398955,1.551498737324269,0.23674834115595755,0.3359375597328357,-68.80974102372925,-0.0005522814855804447,0.0007268270118867616
1.0395836810697578,1.3069232992650137,0.5218863434022208,0.3359333501883451,-68.80740601642418,15.275977919972085,1.5519258250508858,0.4,5,15.276076598135216,-0.6706460412833546,2.5816986959393735,0.6636875023689124,0.16755759677633422,1.5519713810873246,0.236646624767534,0.33592588926925937,-68.80605368254012,-0.0005190941559309858,0.0006923771378946196
1.0395588998755392,1.3073710320560505,0.5220482652544323,0.33591957883088625,-68.80383311283708,15.28345426695028,1.5523825014939132,0.4,6,15.28356624712747,-0.6707890187301162,2.5807638099483015,0.6633588720637678,0.16741943977913576,1.5524253468832623,0.23656386520798053,0.3359123199963364,-68.8025197837047,-0.00047496870265938406,0.0006609891819998298
1.039535735418963,1.3077898220986233,0.5222030841716044,0.3359046624986918,-68.80041034567053,15.290603983756148,1.5528208232634377,0.4,7,15.290727876642052,-0.6709143181859014,2.580167620130851,0.6630950196677824,0.16730111378266654,1.5528611462032902,0.23649336382458735,0.3358975959105767,-68.79913286718156,-0.00042621986465748703,0.0006318941713931147
1.0395139178542405,1.308184498686655,0.522351314230013,0.3358891634613483,-68.79713132326924,15.297446327176509,1.5532413984874158,0.4,8,15.297580921368274,-0.6710273156634552,2.5797828379366625,0.6628740738431823,0.16719653829738218,1.5532793719962328,0.2364313267525918,0.3358822719642742,-68.79588675372865,-0.0003760080636777648,0.0006046352157963899
1.0394932652351092,1.3085583138258234,0.5224933264474638,0.33587347621672814,-68.79398996431416,15.30399785535878,1.5536448641337883,0.4,9,15.30414208882473,-0.6711311678025795,2.5795341778542626,0.6626829351168946,0.1671020265732418,1.5536806487114654,0.23637545595794407,0.3358667390790325,-68.7927755628201,-0.0003259921481468644,0.000578919980593046
1.0394736478070894,1.3089135833945984,0.5226294206000959,0.3358578705580637,-68.79098048713189,15.310273191475872,1.5540318617684323,0.4,10,15.310426129101813,-0.6712278353288075,2.579375099464206,0.6625133780472774,0.16701522947948272,1.5540656071575543,0.23632428809307152,0.3358512658656135,-68.78979370188401,-0.00027708197548670344,0.000554549186017967
1.039454968636809,1.3092520349522578,0.5227598592013031,0.33584252619261507,-68.78809738802917,15.316285519012968,1.554403025178048,0.4,11,15.31644633450575,-0.6713185976614534,2.579275862297185,0.6623600443499295,0.16693458950027243,1.554434871578574,0.2362768542338728,0.33583603232340126,-68.78693584498505,-0.00022977603576561817,0.0005313793159681271
