R,W,Tr,Frac_b,V,A,C,Taub,t,Ia,In,Ik,Iyb,Inb,Ic,Iprofit,Ib,Iλ,Iv
1.0417609577843583,1.145910692788825,0.6525644442439594,0.23926170438971656,-69.50697597739406,13.413716883508709,1.7525851313541323,0.2,0,13.413642484704894,-0.7343410952206869,3.1717161748460714,0.8546847774095051,0.24613259856988995,1.752678431409403,0.31014453241396706,0.23926170438971645,0.46443486829251424,-69.5031797283309
1.044272658697908,1.1022396535267822,0.8025649257892643,0.10736101848245795,-68.22894079521609,13.438322061154569,1.781523110322172,0.634783,1,13.438277454675646,-0.9722899855450855,1.5634949347635825,0.4503573461408683,0.1343994666443805,1.7815597319250374,0.16867174717602293,0.10736101848245784,0.44835003324365247,-68.22604382818561
1.0441633434214075,1.1041322108979301,0.8041427913805804,0.10691748039627728,-68.21517491352787,13.461813910458005,1.7840108943632056,0.634783,2,13.461769303979068,-0.975022471347098,1.5298899132348192,0.44322850009164816,0.13212259459836334,1.7840475159660707,0.1668589149465239,0.10691748039627721,0.44752857539195856,-68.2122779464974
1.0440741990387692,1.105675552907019,0.8054740890692471,0.10658120040549512,-68.20208752149834,13.48421786910403,1.7863840435080567,0.634783,3,13.484173262625086,-0.9767594364827303,1.5106324318424642,0.4389189346751282,0.1307045429015774,1.7864206651109218,0.16570713949727958,0.106581200405495,0.4467380904975276,-68.19919055446786
1.0439968838888176,1.1070140973596003,0.8066541482224535,0.10630225936952101,-68.18965007076983,13.505581145698066,1.7886461357519077,0.634783,4,13.505536539219136,-0.9779929668449526,1.4985818355063534,0.4360283649286268,0.12972177806124108,1.788682757354773,0.16488693180983,0.10630225936952088,0.4459817688934712,-68.18675310373935
1.043927317408844,1.1082184903655339,0.807730248333344,0.10605884082479021,-68.17783340301347,13.525950676709572,1.79080098427701,0.634783,5,13.525906070230633,-0.9789425103921834,1.490484163997229,0.4339252853187283,0.1289827183133086,1.7908376058798754,0.16425295963964237,0.10605884082479008,0.4452609316314854,-68.174936435983
1.0438633719400559,1.1093255677309355,0.8087274880217675,0.1058398158184303,-68.16660825898322,13.54537255559949,1.7928527885840264,0.634783,6,13.545327949120548,-0.9797174891120347,1.4847131239688725,0.4322946700526566,0.1283916271194124,1.7928894101868917,0.16373310981248487,0.10583981581843019,0.4445756143489371,-68.16371129195274
1.0438038451225966,1.1103561457139013,0.8096604271558779,0.10563876336269384,-68.15594582726727,13.563891486027657,1.7948060243875044,0.634783,7,13.563846879548715,-0.9803776846775929,1.4803889801843484,0.430965544381214,0.12789645920552245,1.7948426459903697,0.16328806831709183,0.10563876336269372,0.44392503761106733,-68.1530488602368
1.0437480004450281,1.1113229754156149,0.8105382815317644,0.10545164443314192,-68.14581814843419,13.581550479899803,1.7966652541675274,0.634783,8,13.581505873420868,-0.9809581775010143,1.4770041012568307,0.42983862987804367,0.1274669246736432,1.7967018757703925,0.1628947938894774,0.10545164443314183,0.44330798177144953,-68.14292118140372
1.0436953507741458,1.112234490492982,0.8113673749024964,0.1052757758478148,-68.13619834566741,13.59839068741667,1.7984350230834096,0.634783,9,13.598346080937725,-0.9814806964458539,1.4742503368915574,0.4288531872122452,0.1270844259850663,1.798471644686275,0.1625390387208023,0.10527577584781467,0.44272297954244055,-68.13330137863693
1.0436455512435419,1.113096661561301,0.812152355433715,0.10510929956354584,-68.1270607581031,13.614451340265243,1.8001197649132243,0.634783,10,13.614406733786304,-0.9819592812423121,1.471933135568916,0.427970510724261,0.12673704983034798,1.8001563865160894,0.16221162039489392,0.10510929956354574,0.44216846243992386,-68.12416379107262
1.0435983428341866,1.11391397297436,0.812896839915406,0.10495089171872371,-68.11838098988765,13.629769771318438,1.8017237386628835,0.634783,11,13.629725164839497,-0.9824033111359997,1.4699258975669098,0.42716513872686,0.12641690125100238,1.8017603602657484,0.16190642831270013,0.1049508917187236,0.441642856256228,-68.11548402285719
1.0435535210561528,1.1146899650325701,0.8136037745962711,0.10479958666114404,-68.11013589890065,13.644381476334065,1.8032510008908684,0.634783,12,13.644336869855112,-0.9828192285571586,1.4681442796459905,0.4264198858145392,0.12611859798606595,1.8032876224937333,0.1616192875610305,0.10479958666114395,0.4411446311306409,-68.10723893187017
1.0435109177066229,1.1154275498036101,0.8142756478182099,0.10465466349007226,-68.10230355488785,13.658320195574893,1.8047053967186628,0.634783,13,13.658275589095949,-0.9832115695798112,1.4665310241926637,0.425722896389918,0.12583837803013967,1.804742018321528,0.16134727874103238,0.10465466349007216,0.44067232652478994,-68.09940658785737
1.0434703897382855,1.1161292038419985,0.8149146214973839,0.10451557244975808,-68.09486318102567,13.671618002735514,1.8060905641001839,0.634783,14,13.671573396256585,-0.9835836027952689,1.4650466489316472,0.42506582950506955,0.12557355004132575,1.806127185703049,0.1610883158234987,0.104515572449758,0.44022455981551156,-68.09196621399519
1.0434318122462702,1.1167970896051895,0.8155226152550636,0.10438188422385054,-68.08779509151871,13.684305391068552,1.8074099451112666,0.634783,15,13.6842607845896,-0.9839377389263312,1.463663550468048,0.42444270370351594,0.12532214371176392,1.8074465667141317,0.16084087501006633,0.10438188422385046,0.43980002509400057,-68.08489812448825
1.0433950739060585,1.1174331344362274,0.8161013618868794,0.10425325502500998,-68.08108063097593,13.69641135582952,1.8086667973300203,0.634783,16,13.696366749350572,-0.9842757994477693,1.4623621760837473,0.4238491441222438,0.12508268190536806,1.8087034189328854,0.16060381675204666,0.10425325502500989,0.4393974904007241,-68.07818366394547
1.043360073922122,1.1180390833914795,0.8166524450915631,0.10412940216783927,-68.07470211653958,13.707963471429167,1.8098642056993839,0.634783,17,13.70791886495023,-0.9845991959752145,1.4611284907494793,0.4232818825553748,0.1248540293138045,1.8099008273022492,0.16037626684678677,0.10412940216783917,0.4390157932126378,-68.0718051495091
1.0433267199425371,1.1186165353445956,0.8171773257267142,0.10401008667759257,-68.06864278383489,13.718987963827516,1.811005093264233,0.634783,18,13.718943357348587,-0.9849090519900877,1.4599522752175966,0.4227384203280555,0.12463529034938689,1.8110417148670983,0.16015753577867678,0.10401008667759247,0.43865383613405007,-68.06574581680442
1.0432949265912617,1.1191669683969212,0.817677360700513,0.1038951011110635,-68.06288673629304,13.729509778642152,1.8120922310362397,0.634783,19,13.729465172163204,-0.9852062859637017,1.4588259707637756,0.4222167991158565,0.12442573964161445,1.812128852639105,0.15994706381433305,0.10389510111106338,0.43831058275300067,-68.05998976926256
1.0432646144092168,1.1196917582103951,0.818153816943222,0.10378426099551756,-68.05741889771726,13.739552645231091,1.8131282470063483,0.634783,20,13.739508038752154,-0.9854916685737847,1.4577438880464324,0.42171544388142457,0.12422477430890325,1.8131648686092137,0.1597443834006533,0.10378426099551746,0.4379850537945949,-68.05452193068678
1.0432357090716775,1.1201921915567365,0.8186078820127982,0.10367739879162152,-68.05222496779278,13.749139137372493,1.8141156342521463,0.634783,21,13.749094530893542,-0.9857658624082986,1.4567016609619656,0.4212330544178939,0.12403188090812253,1.8141522558550118,0.15954909325880082,0.10367739879162143,0.4376763237427715,-68.04932800076232
1.0432081407938598,1.1206694766084133,0.8190406723778839,0.10357435967253727,-68.04729138015358,13.758290730830893,1.8150567583912693,0.634783,22,13.758246124351956,-0.9860294496460604,1.4556958676211724,0.42076853010648646,0.12384661241272832,1.8150933799941344,0.1593608404954494,0.10357435967253717,0.43738351775331596,-68.0443944131231
1.043181843867395,1.1211247509635862,0.8194532400593943,0.1034749985794408,-68.04260526280802,13.767027858041635,1.8159538645116204,0.634783,23,13.7669832515627,-0.9862829514838575,1.4547237657672767,0.4203209174130389,0.12366857206031516,1.8159904861144855,0.15917930819754125,0.10347499857944072,0.43710580878203736,-68.03970829577754
1.0431567562889823,1.121559088075189,0.8198465780938924,0.10337917817892313,-68.03815440074138,13.775369960133514,1.81680908365182,0.634783,24,13.775325353654573,-0.9865268418344579,1.4537831072990628,0.41988937310919483,0.12349740195358687,1.816845705254685,0.15900420681961763,0.10337917817892303,0.4368424148997857,-68.0352574337109
1.0431328194549943,1.1219735025381632,0.8202216251342075,0.10328676745460867,-68.03392720056468,13.783335536425012,1.8176244388940783,0.634783,25,13.783290929946075,-0.9867615570395665,1.4528720076977106,0.4194731383954807,0.12333277496056072,1.8176610604969436,0.15883526819261073,0.10328676745460856,0.4365925967607886,-68.03103023353421
