R,W,Tr,Frac_b,V,A,C,Taub,t,Ia,In,Ik,Iyb,Inb,Ic,Iprofit,Ib,Iλ,Iv
1.040286667759998,1.1727110078942065,0.6815083737691595,0.23144370072622064,-75.70516075868022,13.934215983778056,1.7853155554450275,0.2,0,13.934146461712324,-0.7552992407869996,3.137522536527447,0.8309903720582732,0.23384006880915087,1.7854062036529206,0.3017247972628306,0.23144370072622003,0.4503085563280105,-75.70158292127107
1.040975162639892,1.1600420065761319,0.7267581943012094,0.204031881166281,-75.24866999275554,13.939981844948086,1.7982188965062045,0.3,1,13.939930267459568,-0.8042482093108894,2.8135249327211516,0.7553419321473015,0.21483256169651063,1.7983599505046994,0.27546957909314707,0.20400615503812355,0.4444106499983458,-75.24451803847202
1.0409468187703397,1.1605582454364805,0.7273120796539525,0.20391657764344454,-75.24456207641617,13.94560738583535,1.7987411570610545,0.3,2,13.945581154049416,-0.8049704697333603,2.8046157405582277,0.7535715340914316,0.21424051158540647,1.7988797975380433,0.2750866730063509,0.20389358968759755,0.44424966554165246,-75.24044667007396
1.0409242659472966,1.160969317585239,0.7277457205685309,0.20382480886368068,-75.2405820005443,13.951078240465321,1.7992528651077604,0.3,3,13.951074398765599,-0.805448918639301,2.799542875711529,0.7525008973431905,0.21386467386470998,1.7993916834538748,0.2748443611608288,0.20380400046937455,0.4440784263898663,-75.23649972566022
1.0409048773862248,1.1613229427369323,0.7281121063725543,0.20374786314455115,-75.23673022554402,13.956385292617222,1.7997524676675358,0.3,4,13.956401157781642,-0.8057990774766643,2.796443788082435,0.751789287784501,0.21360050388538657,1.7998913325706183,0.27467312253990983,0.20372776823030095,0.4439049793114038,-75.23268009831908
1.0408874822585528,1.1616403814165364,0.7284369273904666,0.20367860920228456,-75.23300651901037,13.961525576172912,1.8002371655665974,0.3,5,13.961557923967,-0.806076374561127,2.794430137560253,0.7512759081869478,0.21339867630948547,1.8003767885324256,0.27454090419418964,0.2036599327290924,0.4437330594701146,-75.22898741239418
1.0408714309177096,1.1619334474552983,0.7287338159921659,0.20361530538517636,-75.22940815143842,13.966499018386411,1.8007067390811253,0.3,6,13.966544612730914,-0.8063091927566142,2.7930477888075167,0.7508793232419986,0.21323418494897176,1.8008472351208316,0.27443183967333695,0.20359785893730709,0.44356447121808623,-75.22541964891987
1.0408563816798448,1.1622083478891718,0.7290103535360719,0.2035563410530997,-75.22593206626664,13.971306654908084,1.801161919323984,0.3,7,13.971363232307516,-0.8065129712845316,2.7920505130181636,0.7505556645517322,0.21309353567705147,1.8013024338731498,0.2743375311933673,0.20354006363453192,0.44340010827930815,-75.22197394684889
1.0408421449491359,1.1624685209477752,0.729270880627433,0.20350032366040535,-75.22257572327646,13.975952236732176,1.8016013681548033,0.3,8,13.976017062918467,-0.806696584157448,2.7912977537451367,0.7502799773282323,0.2129690319402254,1.80174245339813,0.2742532584094317,0.2034856572251545,0.44324040901663386,-75.21864701098743
1.0408285708590435,1.162716693026466,0.7295182525841221,0.20344765627133468,-75.21933501764482,13.980439658710845,1.802025933661877,0.3,9,13.980510135894656,-0.8068653812662413,2.7907057993120934,0.7500373999239853,0.21285607211925292,1.802167530983,0.2741762255700573,0.20343407357632226,0.4430855668061781,-75.21543533499273
1.0408155960352847,1.1629540044858204,0.7297543073517909,0.20339711020055357,-75.21620633551133,13.984772605885803,1.8024366118956472,0.3,10,13.98484690804397,-0.8070227231103705,2.790223008252599,0.7498187340668295,0.21275179137098094,1.8025779989631792,0.2741047025151886,0.2033849348076299,0.44293563483842435,-75.21233532787014
1.0408031752112272,1.1631812685860088,0.7299802372982962,0.20334793844718485,-75.2131866651203,13.988955505906844,1.8028332626539423,0.3,11,13.989032048213266,-0.8071708002444381,2.789816590130602,0.7496180959094787,0.2126543417637162,1.8029742429650648,0.27403757559811504,0.20333797514472107,0.44279058619029493,-75.20934338970356
1.0407912334842333,1.1633998511909829,0.7301969714338548,0.20330135936749838,-75.21027253761227,13.992992979906965,1.8032161630346515,0.3,12,13.993070307597693,-0.8073110890907124,2.7894652219266773,0.7494316135209341,0.21256249303095195,1.8033566767050986,0.2739741030915613,0.20329299959839447,0.4426503453378419,-75.20645595731473
1.0407797523680824,1.163610078555684,0.7304051978922862,0.20325661847049978,-75.20746041491662,13.99688927741639,1.8035861264084345,0.3,13,13.996966438814269,-0.8074446178656427,2.789154750430102,0.7492566712918481,0.2124754010545872,1.8037257265199635,0.2739137743893401,0.20324985859844671,0.44251480759305484,-75.20366953099676
1.0407687141616293,1.163812264666171,0.7306054256110951,0.20321325900992113,-75.20474719915295,14.000648864642733,1.803943326373144,0.3,14,14.00072514270812,-0.8075721261702927,2.788875609869534,0.749091457512884,0.2123924692152061,1.8040818214307834,0.2738562264666986,0.20320843274253772,0.44238385315730594,-75.20098069250035
1.040758079729905,1.1640071213434866,0.7307980960043602,0.20317194599618085,-75.20212964876468,14.004276252575249,1.804288025537215,0.3,15,14.004351036816068,-0.8076941639217297,2.7886212221463578,0.7489346848873225,0.21231326276748747,1.804425387130767,0.2738011926157182,0.20316862338405786,0.4422573526614684,-75.19838611388188
1.0407478317015395,1.1641949593917642,0.7309835927120367,0.20313252436955942,-75.19960447170025,14.007775673507536,1.804620820342372,0.3,16,14.00784863343524,-0.8078111537824292,2.7883869871623412,0.7487854143069776,0.2122374548210464,1.8047568424011171,0.27374847022678467,0.20313034664192098,0.4421351726184985,-75.19588256296167
1.0407379621603337,1.1643759158582907,0.7311622214564338,0.20309454367025415,-75.19716864699392,14.011151426664624,1.8049419469331067,0.3,17,14.011222327259377,-0.8079234318798861,2.7881696305404247,0.748642940884531,0.21216479147823697,1.8050765967745315,0.27369789983427856,0.20309352895896204,0.442017178786772,-75.19346690555214
1.0407284464858109,1.164550437394019,0.7313342819628247,0.20305834276532891,-75.19481909781584,14.014407687451955,1.8052517845227003,0.3,18,14.014476388133346,-0.8080312742333257,2.7879667767115603,0.7485067197115423,0.21209506906113518,1.8053850492927952,0.2736493516817625,0.2030581046409254,0.44190323758987354,-75.19113610579309
1.0407192740945768,1.1647187119002085,0.7315000383907498,0.2030237079129186,-75.19255284223921,14.017548456111248,1.8055507662719592,0.3,19,14.017614957668076,-0.8081349144961836,2.7877766652546407,0.748376316421694,0.21202811896150559,1.805682587724465,0.27360271671382036,0.20302401392710925,0.44179321727288146,-75.18888722542391
1.0407104361883939,1.1648808949028597,0.7316597287146039,0.2029903927135462,-75.19036704357488,14.0205776976733,1.8058391812630237,0.3,20,14.020642048346193,-0.8082345558974907,2.7875979606158965,0.7482513740733074,0.21196379747734592,1.8059695882165567,0.27355790057465473,0.20299120163688555,0.44168698896806796,-75.18671742218348
1.0407019151618835,1.165037305271136,0.731813589990701,0.20295856376424642,-75.1882588843624,14.023499243899826,1.8061173912436763,0.3,21,14.023561544037793,-0.808330379260947,2.787429623294198,0.7481315908335552,0.211901978935513,1.8062464151970608,0.27351481963696594,0.20295961638468746,0.4415844266651228,-75.18462394784737
1.040693701794896,1.1651881073741095,0.7319618374845925,0.20292805657468127,-75.18622564845086,14.026316795700131,1.8063857533537189,0.3,22,14.026377201700825,-0.8084225485779755,2.787270822133815,0.748016704712301,0.21184255098940077,1.8065134214465717,0.2734733982494241,0.2029292098758851,0.44148540781254914,-75.18260414591482
1.040685787128489,1.1653334612004702,0.7321046750875538,0.2028987191726237,-75.18426471844306,14.029033977738589,1.8066445664679762,0.3,23,14.029092653809128,-0.8085112148452869,2.7871208743252396,0.7479064831126189,0.21178541138656293,1.8067709482418446,0.2734335668612252,0.20289993641460632,0.44138981340962213,-75.18065544911873
1.0406781576090742,1.1654736120757072,0.732242304097676,0.20287062097885591,-75.18237352996398,14.031654288586328,1.8068941611898899,0.3,24,14.031711411149836,-0.808596518678504,2.7869792041605526,0.7478007156926901,0.21173046574029272,1.807019325595347,0.27339526077912324,0.2028717526321647,0.4412975279222325,-75.1787753768774
1.0406708042786685,1.165608720754385,0.732374913438485,0.20284365243864866,-75.18054961038756,14.03418111275367,1.8071348562741731,0.3,25,14.034236865954876,-0.8086785922053037,2.7868453145164085,0.7476992093519228,0.21167762596376316,1.807258872517561,0.2733584192578731,0.20284461719715183,0.44120843935633847,-75.17696153271731
1.0406637181651726,1.1657389485975589,0.7325026844917747,0.20281772304774695,-75.17879057165551,14.036617744266882,1.8073669410808177,0.3,26,14.036672295221289,-0.8087575603997611,2.7867187670840794,0.7476017847435439,0.21162680916898352,1.8074898973078561,0.2733229848722599,0.20281849061211524,0.44112243925711503,-75.1752116016762
1.040656888532844,1.1658644898849684,0.7326257952578648,0.2027928365222433,-75.17709409030111,14.038967352109374,1.807590728307549,0.3,27,14.039020864100193,-0.8088335420295562,2.7865991685633236,0.747508273825089,0.21157793688152748,1.8077126978634315,0.2732889030794904,0.2027933350851281,0.44103942255412604,-75.1735233477396
1.040650307282023,1.165985490466048,0.7327444130383435,0.20276890120942226,-75.1754579376207,14.041233002985717,1.8078065035092694,0.3,28,14.041285629293402,-0.8089066503726643,2.7864861609728604,0.747418518087326,0.2115309344681238,1.8079275619870736,0.27325612188279674,0.2027691143861623,0.44095928757853253,-75.17189461133863
1.0406439656948492,1.1661021078910998,0.7328587003806913,0.20274586719887822,-75.17387995823357,14.043417670435,1.8080145378088028,0.3,29,14.043469542453687,-0.8089769937501945,2.786379414749531,0.7473323672733653,0.211485730713917,1.8081347676932964,0.2732245915867824,0.20274579374633783,0.44088193594733566,-75.17032330688784
1.0406378544646193,1.1662145108488815,0.7329688154146857,0.20272372577280695,-75.17235806351519,14.045524219188527,1.8082151095946262,0.3,30,14.045575453537685,-0.8090446759298745,2.7862786238000252,0.7472496784381956,0.21144225750369655,1.8083345835189795,0.27319426461515456,0.20272333978466472,0.44080727245468065,-75.16880742037849
1.0406319659356238,1.1663228377469166,0.7330749087251255,0.20270241198673994,-75.17089024486988,14.047555418445906,1.8084084803772225,0.3,31,14.047606114091785,-0.8091097964574361,2.7861835019162378,0.7471703152248538,0.21140044957279264,1.808527268822925,0.2731650953553533,0.20270172042108367,0.44073520501871516,-75.16734500704179
1.0406262921225427,1.1664272333045969,0.7331771260891355,0.20268188945749824,-75.16947456298661,14.04951394606776,1.808594901142002,0.3,32,14.04956418046884,-0.8091724509211218,2.786093780107874,0.7470941473084785,0.2113602443091259,1.8087130740810038,0.27313704003777195,0.20268090481316708,0.44066564458463714,-75.16593418907483
1.0406208249790971,1.1665278435718471,0.7332756086693982,0.2026621384766367,-75.16810914427207,14.051402381977665,1.8087746229498416,0.3,33,14.05145221696637,-0.8092327311723416,2.7860092045876743,0.7470210499533284,0.2113215815905847,1.8088922411754518,0.27311005663460675,0.20266086330206512,0.4405985050205688,-75.16457315342953
1.0406155573937228,1.1666247975105968,0.733370491402758,0.20264311263605145,-75.16679218673349,14.05322321895292,1.8089478816751383,0.3,34,14.053272698884445,-0.8092907255210173,2.785929535222557,0.7469509036446589,0.2112844036471489,1.8090650036748233,0.2730841047678656,0.20264156735281022,0.4405337030522273,-75.16326014966698
1.0406104820649218,1.1667182277696049,0.7334619050587126,0.20262478636233924,-75.16552195063736,14.054978864129476,1.809114906294698,0.3,35,14.055028015496458,-0.8093465189031653,2.7858545443073006,0.7468835937830424,0.2112486549421258,1.8092315871067632,0.27305914563169076,0.20262298950782956,0.4404711581639324,-75.16199348787623
1.0406055919018486,1.1668082632676373,0.7335499757770491,0.20260713767937663,-75.16429675781966,14.056671637456397,1.809275921735644,0.3,36,14.056720472933184,-0.8094001930321819,2.785784015569246,0.7468190104195357,0.21121428206683027,1.8093922092241077,0.27303514192162115,0.20260510334289547,0.4404107925137634,-75.16077153665559
1.0406008804024345,1.1668950221925904,0.733634824590012,0.20259013129840994,-75.16311499308924,14.05830377865555,1.8094311416759175,0.3,37,14.058352296981981,-0.8094518265395847,2.785717743343866,0.7467570480193412,0.21118123364520214,1.809547080261645,0.2730120577674349,0.20258788342106684,0.4403525308600834,-75.15959272115637
1.040596341011708,1.1669786238517714,0.7337165684929534,0.20257374580498058,-75.1619750985336,14.05987744891224,1.8095807729696427,0.3,38,14.059925635799893,-0.8095014951022833,2.7856555318724654,0.7466976052523646,0.21114946024688352,1.8096964031859621,0.2729898586733363,0.2025713052545525,0.4402963004749896,-75.15845552118658
1.0405919674217339,1.1670591831177937,0.7337953202599017,0.2025579603641572,-75.16087557225326,14.061394731709148,1.8097250169235275,0.3,39,14.061442562541991,-0.8095492715622037,2.7855971946927505,0.7466405848011617,0.21111891430647825,1.8098403739377902,0.2729685114611579,0.2025553452673479,0.4402420310651929,-75.157358469374
1.0405877537126869,1.167136807811711,0.7338711883038141,0.2025427481907174,-75.15981496789485,14.062857637696874,1.8098640658360698,0.3,40,14.062905077907288,-0.8095952260398861,2.7855425541000853,0.7465858931826138,0.21108955004787386,1.8099791816664077,0.272947984216007,0.20253998075786273,0.4401896547005755,-75.15630014938715
1.0405836940209365,1.1672116048296144,0.7339442773311868,0.20252809042456207,-75.15879189073257,14.064268106101466,1.8099981061051784,0.3,41,14.064315112603834,-0.8096394260406826,2.785491440661513,0.7465334405829426,0.21106132341307723,1.810113008957139,0.2729282462359242,0.20252518986592924,0.44013910573574383,-75.15527919421203
1.0405797827354888,1.1672836765035586,0.7340146881673855,0.20251396738884647,-75.15780499677975,14.065628006632197,1.8101273179902468,0.3,42,14.065674529734784,-0.8096819365562702,2.7854436927736983,0.7464831407021846,0.2110341919946923,1.810242032051799,0.2729092679834856,0.20251095154026696,0.44009032073891446,-75.15429428448371
1.040576014513131,1.1673531203141612,0.7340825178613727,0.2025003574761082,-75.15685299133091,14.066939143057086,1.8102518743311324,0.3,43,14.066985127107747,-0.8097228201617289,2.7853991562568354,0.7464349106071396,0.21100811497167019,1.8103664210618886,0.2728910210394154,0.2024972455068031,0.44004323842319437,-75.1533441468711
1.0405723841153771,1.1674200318976642,0.734147860053021,0.20248724382933003,-75.1559346261802,14.068203254832325,1.810371942331901,0.3,44,14.06824863946931,-0.8097621371076036,2.785357683977441,0.7463886705927363,0.21098305304811948,1.8104863401753404,0.27287347805891154,0.20248405223970578,0.43999779957619345,-75.15242755251332
