τb,τw,r,tr,diffv,diffasset,diffgbc,Rss,Wss,Trss,Frac_bss,Vss,Ass,Css,value
0.0,0.0,0.03997267322772826,0.16858145215023457,9.522031890438408e-6,3.559556841503664e-7,-2.1647990378070858e-7,1.0399726732277284,1.1840633549162904,0.16858145215023457,0.14486032735728283,-68.63167116266703,14.218517509480957,1.8306655529928602,-69.33241391451759
0.07777777777777778,0.0,0.040152955099459826,0.19160246167007855,0.0001062720746717769,3.221029627464844e-7,-1.8684567515414585e-7,1.04015295509946,1.180848177077719,0.19160246167007855,0.1317863472307591,-68.53804460917185,14.225708274011485,1.8351803623899527,-69.23604478213664
0.15555555555555556,0.0,0.04031743296169417,0.2124063657871857,9.388261123438233e-6,2.032491603909392e-7,-1.4139121828904422e-7,1.0403174329616942,1.1779300449451164,0.2124063657871857,0.11787893357551743,-68.46825574378158,14.23645316809383,1.8389250874762637,-69.15920897327344
0.23333333333333334,0.0,0.04047726922259555,0.23031087234283068,9.425493784891484e-6,1.2439018715060257e-7,-1.0181931475727879e-7,1.0404772692225956,1.1751080479392249,0.23031087234283068,0.1036467572899324,-68.43626923585481,14.243374064024506,1.8410667019922624,-69.1134801407105
0.3111111111111111,0.0,0.0406439135829997,0.24502775282748634,9.497141216474016e-6,6.578444866622846e-8,-6.84011205454027e-8,1.0406439135829997,1.1721802119534974,0.24502775282748634,0.08853842050420996,-68.44523937302267,14.245894525554498,1.8413250159920513,-69.10215416228742
0.3888888888888889,0.0,0.04082163042625441,0.256041141461923,9.40637258646633e-6,5.755246446081941e-8,-5.201596708914735e-8,1.0408216304262543,1.1690738728193322,0.256041141461923,0.07232171397244366,-68.49779902792385,14.24673339947499,1.8396907398947935,-69.13134085286627
0.4666666666666667,0.0,0.04099824257267256,0.2626145960029458,9.569997150246735e-6,4.744550552437943e-8,-5.10805160391925e-8,1.0409982425726725,1.1660031107336508,0.2626145960029458,0.05553408731430889,-68.59724207516993,14.249182136555996,1.8361590913915342,-69.21465921727898
0.5444444444444444,0.0,0.0411444485991301,0.2648458406920815,9.400335122487516e-6,5.463256469440125e-8,-4.9797473478108145e-8,1.0411444485991301,1.163473199378708,0.2648458406920815,0.03975435634955966,-68.73453702393176,14.25105347074762,1.8313897915826858,-69.3466365680046
0.6222222222222222,0.0,0.04126093263065132,0.2637958624975713,9.554988862722252e-6,3.3934071996810644e-8,-3.144882865235843e-8,1.0412609326306512,1.161465433803496,0.2637958624975713,0.026805981489012577,-68.89237487217746,14.249216069164213,1.8258863563575263,-69.5032683716887
0.7,0.0,0.04134911751358379,0.2604100180789354,9.455126332559565e-6,-2.5655542601477066e-7,6.293002443591433e-7,1.0413491175135838,1.1599500464589358,0.2604100180789354,0.017252842502065904,-69.05711336499223,14.246328404602426,1.8199790292072437,-69.67290419151779
0.0,0.07777777777777778,0.040293732203386556,0.253986891419481,0.00010639019030730811,4.2285854184864746e-7,-2.019128249042268e-7,1.0402937322033865,1.1783496491725356,0.253986891419481,0.1625881574435016,-68.84312425973519,14.015166994436544,1.8129774992204926,-69.39408255218525
0.07777777777777778,0.07777777777777778,0.040481683653449146,0.279664753291901,8.947559074513161e-5,3.7430571053764794e-7,-1.7820044617700148e-7,1.0404816836534492,1.1750303006022413,0.279664753291901,0.14910701671322207,-68.70882497460006,14.030096341289326,1.8195133068589724,-69.26241838605381
0.15555555555555556,0.07777777777777778,0.04065170552307618,0.30329872581999,9.527709009287662e-6,2.521427681090316e-7,-1.4062943787251925e-7,1.0406517055230762,1.1720436694943246,0.30329872581999,0.13460429239309113,-68.59895746401057,14.047941434276616,1.825055392724098,-69.15541537157475
0.3111111111111111,0.07777777777777778,0.040963312040526424,0.34201639465569944,0.4407554271578755,-4.347853619579567e-6,8.836962600566878e-7,1.0409633120405264,1.1666091687969409,0.34201639465569944,0.10314942993235103,-68.48680413151831,14.081863349206328,1.831903592819982,-69.61069072851872
0.3888888888888889,0.07777777777777778,0.04112970342973459,0.35587697125973805,0.0027739572120181757,3.530574099741557e-8,-5.266798219771829e-8,1.0411297034297347,1.1637278481086057,0.35587697125973805,0.08609005102071488,-68.50352858738387,14.091408441729545,1.8321284903988675,-69.02348151038774
0.4666666666666667,0.07777777777777778,0.041305858468543184,0.36523151389989783,9.564859724179924e-6,2.8662453854799708e-8,-1.2877213295681145e-8,1.0413058584685433,1.1606929244449782,0.36523151389989783,0.06806637974559274,-68.57375307580688,14.100225688775291,1.830106212000489,-69.07134967735425
0.5444444444444444,0.07777777777777778,0.041469243088203,0.3695082447768915,9.397455475046614e-6,2.4306707091525936e-8,1.33710218452876e-8,1.041469243088203,1.1578921344294226,0.3695082447768915,0.050088467977643804,-68.69708186836539,14.110024103730956,1.8260731534709855,-69.18180159946355
0.6222222222222222,0.07777777777777778,0.041598309006539276,0.369601757976143,9.369296757255226e-6,1.9181153332326062e-8,6.362603910403664e-8,1.0415983090065393,1.1556891842991344,0.369601757976143,0.03449084188691194,-68.85424226709124,14.115378736100741,1.8209317269525476,-69.33280396566303
0.7,0.07777777777777778,0.04169817757927469,0.36653145830823897,9.496862475187437e-6,-4.941525677537584e-8,1.653124021006036e-7,1.0416981775792746,1.1539903305253922,0.36653145830823897,0.022428431994308995,-69.02962286272353,14.11687115651498,1.8149356690311615,-69.50827587912393
0.0,0.15555555555555556,0.04055696453200125,0.3321285110389983,0.000262443482891905,3.9397643003535876e-7,-1.5266042896477927e-7,1.0405569645320012,1.1737060291480752,0.3321285110389983,0.18477817220781512,-69.16607065547674,13.794406437756006,1.7900352182969423,-69.56417220634637
