Row,Description,Expression,Value
1,RelRiskAver,mu,1.5
2,DiscFactor,beta,0.99
3,Growth,gamma,0.02
4,PBcapshr,phi,0.33
5,PBlabshr,nu,0.33
6,CCTFP,Theta,0.6877500000000001
7,CCcapshr,alpha,0.5
8,CCdepr,delta,0.041
9,Alowerbnd,amin,0.0
10,Maxleverage,chiminus,1.0
11,Defspend,G,0.11
12,Debt,B,3.0
13,TaxWage,tauw,0.37
14,TaxPBinc,taub,0.2
15,TaxCCinc,taup,0.2
16,TaxCons,tauc,0.06
17,RhoTau,rhotau,0.9
