taub,rhotau,Vss,VinitFO,VinitSO,CESS,CEFO,CESO,VinitSO_smooth,CESO_smooth
0.21,0.0,-27.895529730690114,-27.8961215984809,-27.896121599438203,0.00037941844583433415,0.0003444908900323007,0.0003444908335410446,-27.896239136092767,0.0003366684624102406
0.224,0.0,-27.8867494994349,-27.88817217537056,-27.888172137259527,0.0008977761427266806,0.0008137584079470628,0.000813760658495255,-27.88823608411769,0.0008096016000235427
0.238,0.0,-27.878356587151274,-27.880529335436258,-27.88052908374381,0.0013936444397748549,0.0012652392336154339,0.0012652541067206258,-27.880509547875796,0.0012663952971178085
0.252,0.0,-27.870213196844027,-27.873091965901477,-27.873091191344052,0.0018751228420459398,0.0017048757898241451,0.0017049215904130222,-27.873058573693143,0.0017070920344720085
0.266,0.0,-27.862344314767114,-27.865924770498932,-27.865923026353684,0.002340700893046499,0.002128815882104673,0.0021289190811659697,-27.865882207895787,0.002131734292865111
0.28,0.0,-27.85485935798743,-27.859073953549032,-27.859070576159933,0.0027838644768563015,0.002534293788758246,0.002534493746285005,-27.8589794968098,0.002540364553076086
0.294,0.0,-27.84767208956638,-27.852429066353768,-27.852423176714662,0.0032096794164004905,0.002927818528352777,0.0029281674284191705,-27.85234948676119,0.0029330252958838987
0.308,0.0,-27.840815478300474,-27.84605066934123,-27.846041180960523,0.0036161571756863076,0.003305779130557074,0.0033063415366203497,-27.84599122407606,0.0033097590020675243
0.322,0.0,-27.83432214817296,-27.839936663454125,-27.8399222234435,0.004001326483154433,0.0036682734671888984,0.0036691298359645685,-27.83990375508044,0.0036706081524059274
0.336,0.0,-27.828177640770278,-27.83415499667792,-27.834134051800415,0.004366008654747011,0.0040112444499942335,0.0040124872287825575,-27.834086126100388,0.004015615227678078
0.35,0.0,-27.822356272108095,-27.828586104128373,-27.828556725608394,0.004711695570909669,0.004341759813639712,0.004343503869935095,-27.82853738346197,0.004344822708662946
0.364,0.0,-27.816892203288326,-27.823287984540727,-27.823247921212584,0.005036327561169562,0.004656356243639914,0.004658735722436136,-27.823256573491218,0.0046582730761394985
0.378,0.0,-27.811829257958244,-27.818254266545924,-27.818200955471887,0.00533726840531501,0.0049553897557459425,0.004958557472733105,-27.818242742514208,0.0049560088108867055
0.392,0.0,-27.80704623005962,-27.813565195386747,-27.81349596797941,0.005621695173514851,0.005234069273788,0.005238184445280014,-27.81349493685699,0.005238072393683539
0.406,0.0,-27.80262037784137,-27.80908610810811,-27.80899790545772,0.005884989723580869,0.005500377353488517,0.005505622582208325,-27.80901220284561,0.005504506305308962
0.42,0.0,-27.798495685451844,-27.804882897833785,-27.80477243056858,0.006130461335338566,0.005750379184307652,0.005756950900162705,-27.804793586806134,0.005755353026541949
0.434,0.0,-27.79468092590988,-27.80093858352167,-27.800802606427723,0.006357567994564883,0.005985067008990708,0.005993159149508376,-27.800838135064613,0.005990655038161465
0.448,0.0,-27.79103166747271,-27.797258315331995,-27.797093082693515,0.006574893735333154,0.006204118102708822,0.006213954496266938,-27.797144893947095,0.006210454820946482
0.462,0.0,-27.78755289126916,-27.7938418898015,-27.79364387260217,0.006782132228192461,0.00640752921470078,0.0064193208838407845,-27.79371290977964,0.006414794855675965
0.476,0.0,-27.78438886131073,-27.790744408314996,-27.79050972214012,0.006970676164066214,0.006592003983137307,0.00660598310797611,-27.790541228888316,0.00660371762312889
0.49,0.0,-27.781589478332762,-27.787857275729927,-27.787581153290812,0.007137535019883234,0.006763996809019401,0.006780448338385092,-27.78762889759916,0.00677726560408422
0.504,0.0,-27.779168654727805,-27.785246149996766,-27.784922794422087,0.0072818630658793015,0.006919585265575234,0.0069388554782439105,-27.784974962238227,0.006935481279320926
0.518,0.0,-27.77714452119525,-27.782905492114715,-27.782528794804513,0.007402564505108344,0.00705908808525213,0.0070815418904297545,-27.782578469131575,0.007078407129617975
0.532,0.0,-27.775594048321594,-27.780824579779782,-27.78038781082321,0.0074950356823970665,0.007183134458763174,0.007209173835827309,-27.780438464605265,0.007206085635754339
0.546,0.0,-27.77446351727232,-27.779067762458904,-27.778563699371738,0.007562469291842788,0.007287878875645193,0.007317934985187291,-27.778553994985344,0.0073185592785089855
0.56,0.0,-27.77364257776362,-27.777529874543927,-27.77695089303194,0.007611440712184558,0.007379583764320241,0.0074141119148598555,-27.776924106597882,0.007415870538660886
0.574,0.0,-27.773311879681685,-27.77624068745003,-27.7755789871347,0.007631168819753009,0.007456468170441433,0.007495934003494575,-27.775547845768912,0.007498061896989005
0.588,0.0,-27.77332141205933,-27.77521920735094,-27.774466123714397,0.007630600148618383,0.007517393344759871,0.0075623138157066006,-27.7744242588245,0.007565175834272314
0.602,0.0,-27.77371203504313,-27.774455874376073,-27.77360242994367,0.007607297245955547,0.007562925196284764,0.007613835737543262,-27.773552392090696,0.007617254831289781
0.616,0.0,-27.774561821106573,-27.77399277373688,-27.77302991924371,0.007556605422647911,0.007590550071042479,0.007647989894568941,-27.772931291893563,0.007654341368820377
0.63,0.0,-27.77573178993901,-27.77373163264472,-27.772649468156423,0.0074868201704094695,0.007606128157850778,0.007670687349887739,-27.772560004559153,0.00767647792764307
