τb,ρ_τ,Vss,VinitFO,VinitSO,CESS,CEFO,CESO
0.21,0.0,-27.90926446636781,-27.910136071873254,-27.910136119916288,0.0003984070689400099,0.00034698695318491346,0.00034698411900935255
0.22542857142857142,0.0,-27.8991455723492,-27.901314311178204,-27.901314562252534,0.0009956586133526013,0.0008676072471860419,0.000867592424135033
0.24085714285714285,0.0,-27.889415180748152,-27.892871404404502,-27.89287189744957,0.0015704840093124783,0.0013662500156519375,0.0013662208852569524
0.2562857142857143,0.0,-27.880061855071887,-27.88468428032547,-27.88468480636789,0.0021235009994482468,0.0018501420814811542,0.001850110978984798
0.27171428571428574,0.0,-27.87109364353686,-27.876820817813563,-27.876820965506745,0.0026541782846372097,0.0023152347413932794,0.002315226002885362
0.28714285714285714,0.0,-27.862559328261938,-27.869341353325314,-27.86934046227373,0.003159572094508789,0.002757916034973773,0.002757968790426446
0.30257142857142855,0.0,-27.85443880584283,-27.86212413387507,-27.86212114503699,0.003640816357729504,0.0031853541197297552,0.003185531189555668
0.318,0.0,-27.846655919208636,-27.85524911970497,-27.85524284502179,0.00410237648041778,0.003592779400429791,0.0035931513624134492
0.3334285714285714,0.0,-27.839382544869,-27.848691412112597,-27.84868005591723,0.004534008110244514,0.003981631869930169,0.003982305454398816
0.34885714285714287,0.0,-27.83259994568421,-27.842520670319317,-27.842502113699368,0.004936765975614321,0.00434774484737499,0.0043488461222565
0.36428571428571427,0.0,-27.826150892131714,-27.836639026892808,-27.836610792565804,0.00531994224095067,0.004696891923480884,0.0046985684132683225
0.3797142857142857,0.0,-27.820197521272227,-27.83108254483951,-27.831041544987723,0.005673861645329126,0.005026903988377018,0.005029339666795085
0.39514285714285713,0.0,-27.814735675963263,-27.825914972900183,-27.825857810907813,0.0059987249681554555,0.005333963747347514,0.0053373611289511125
0.4105714285714286,0.0,-27.809674941823054,-27.821028698440077,-27.82095165097861,0.006299871246049804,0.005624438124423925,0.005629019373312394
0.426,0.0,-27.80502905278081,-27.816483994485015,-27.816383319085435,0.006576450634273812,0.005894720171781609,0.005900708759761786
0.44142857142857145,0.0,-27.80077754165172,-27.812261616015995,-27.812132341660526,0.006829651819095783,0.006145930578743908,0.006153623241158757
0.45685714285714285,0.0,-27.796843639338118,-27.808392585627924,-27.808231362752014,0.007064022737120146,0.006376201172849871,0.0063857982867088214
0.4722857142857143,0.0,-27.793407153786163,-27.804882492700273,-27.804682626110747,0.007268825928025802,0.006585177514342844,0.006597078698884928
0.4877142857142857,0.0,-27.790343046572676,-27.80161554983946,-27.801367857143347,0.007451489291457891,0.0067797362014327955,0.006794489529925896
0.5031428571428571,0.0,-27.787773400213855,-27.798707800002905,-27.79840789915458,0.007604714227856135,0.006952951048295741,0.006970818704299386
0.5185714285714286,0.0,-27.785636849237612,-27.796139711164162,-27.795779861406505,0.007732140821975708,0.007105969444501703,0.007127413713457154
0.534,0.0,-27.784053261503008,-27.79394928175554,-27.793520763486843,0.007826603589693226,0.007236512740979029,0.007262054166496723
0.5494285714285714,0.0,-27.782937763736484,-27.792027797755022,-27.791521602088306,0.007893152244307533,0.007351048563948748,0.007381225127720548
0.5648571428571428,0.0,-27.782294372308293,-27.790429306215312,-27.789835865674736,0.007931538854080822,0.007446346338560339,0.007481729112733371
0.5802857142857143,0.0,-27.782171984924197,-27.789142883267935,-27.788452130674553,0.007938841090748605,0.007523049242446067,0.007564238945949597
0.5957142857142858,0.0,-27.782482192107324,-27.788174137284294,-27.787375726920725,0.007920332750239512,0.007580816455491801,0.007628430133752584
0.6111428571428571,0.0,-27.78329700003324,-27.787567765322994,-27.7866501680264,0.007871720112746727,0.0076169775008305685,0.007671702198377428
0.6265714285714286,0.0,-27.784466025186966,-27.787223005381318,-27.78617460969824,0.007801980497597949,0.007637538158381751,0.007700065833776026
0.642,0.0,-27.78610814446173,-27.78717486420376,-27.78598382996565,0.007704030102686277,0.007640409233032441,0.007711444809853196
0.6574285714285715,0.0,-27.78816042208784,-27.787423608488055,-27.786078054130076,0.0075816343409240705,0.007625574592793338,0.007705824825518848
0.6728571428571428,0.0,-27.79064802005975,-27.788018513433137,-27.7865052283086,0.007433306407723439,0.007590096911879396,0.007680346683674122
0.6882857142857143,0.0,-27.79346391947547,-27.788853750238015,-27.787159810880567,0.007265442372937692,0.007540289990556337,0.007641306995365138
0.7037142857142857,0.0,-27.79662785791968,-27.78997654524518,-27.788088582671765,0.00707688075911217,0.007473341189826455,0.007585918394396929
0.7191428571428572,0.0,-27.800195981351504,-27.79137092157619,-27.789275821990877,0.0068642944044277066,0.00739020812175073,0.007515122371904548
0.7345714285714285,0.0,-27.804059535319517,-27.793045837568318,-27.79072927270456,0.006634182395272692,0.007290362811075868,0.007428462110990797
0.75,0.0,-27.80833263145256,-27.79502214499332,-27.792467927250765,0.006379770048911215,0.00717257000467586,0.0073248115990027785
