R,W,Tr,Frac_b,V,A,C,t
1.0416261619891132,1.1224444961573008,0.6221974322920143,0.18705463876200018,-70.67281759191455,13.078418146538294,1.717539327466044,0
1.0416587889246194,1.1219028359750816,0.6379213864324056,0.18634554258762148,-70.65677587948585,13.076640811646005,1.7197222068747169,1
1.0416562976295394,1.1219438822458465,0.6380002280049567,0.1863120697978903,-70.65780920720907,13.074984380411795,1.7195308977355117,2
1.0416572511551274,1.1219281720757492,0.6380151141783127,0.18629393690700524,-70.65877036219354,13.073437414937882,1.7193547732332952,3
1.0416598875792262,1.1218847346771552,0.6379986483492912,0.18628303001522092,-70.6596668377045,13.071989528894337,1.7191911120420602,4
1.0416633235437416,1.1218281241491732,0.6379663674061857,0.18627612944065955,-70.66050418159685,13.070632108410454,1.719038274538573,5
1.0416671048088522,1.1217658244911342,0.637926259320322,0.18627163163651692,-70.6612868996736,13.069357920779629,1.7188951503953083,6
1.0416709842051302,1.1217019080360693,0.6378825724898206,0.18626878228594404,-70.66201886986602,13.068160701622332,1.718760895460636,7
1.0416748320150884,1.121638511993321,0.6378377166911511,0.18626703752989623,-70.66270353884951,13.06703498615943,1.7186348223673862,8
1.041678578798235,1.1215767804558676,0.6377930730223959,0.18626603470771752,-70.6633440264067,13.065975929442713,1.7185163449761798,9
1.0416821872161537,1.1215173286068658,0.6377494265032322,0.18626554961052724,-70.66394318823862,13.064979171267629,1.7184049465437932,10
1.041685639131974,1.1214604552671468,0.6377072217468356,0.1862654250512186,-70.6645036579908,13.064040748312136,1.718300162897704,11
1.0416889270709635,1.12140628358949,0.6376666942323671,0.18626555866390596,-70.66502787852765,13.063157022284855,1.7182015709047809,12
1.0416920499518936,1.1213548313880835,0.6376279528130295,0.18626588162226673,-70.665518122403,13.062324630826614,1.7181087816869833,13
1.0416950105103284,1.1213060535921084,0.6375910291980575,0.18626634619610657,-70.66597650942539,13.061540450769188,1.7180214354417798,14
1.0416978137248887,1.121259868174419,0.637555908333752,0.18626691799777925,-70.66640502000934,13.060801572129515,1.7179391978493253,15
1.0417004658198463,1.1212161725846843,0.6375225469976954,0.18626757169384955,-70.66680550648204,13.060105277300806,1.717861757382819,16
1.041702973655474,1.1211748537938968,0.6374908854184462,0.18626828815208352,-70.66717970277244,13.059449024305195,1.717788823181935,17
1.0417053443508453,1.1211357945090694,0.6374608546064652,0.1862690525701155,-70.6675292329839,13.058830432743791,1.7177201232763832,18
1.0417075850422666,1.1210988771533092,0.6374323809585869,0.18626985336932125,-70.66785561912117,13.05824727146945,1.7176554030531208,19
1.0417097027398516,1.1210639862288363,0.6374053892982621,0.18627068128547827,-70.66816028793343,13.057697447914537,1.7175944239629968,20
1.0417117042329884,1.1210310098745362,0.6373798047888402,0.18627152886831408,-70.66844457729414,13.057178998205341,1.7175369623731516,21
1.041713596039366,1.1209998407057657,0.6373555541805478,0.18627239003853158,-70.66870974202779,13.056690078403404,1.717482808543393,22
1.0417153843755096,1.120970376299818,0.6373325665712255,0.18627325981134335,-70.66895695927032,13.05622895656032,1.7174317656978815,23
1.0417170751449978,1.120942519390063,0.6373107738664814,0.18627413406503823,-70.66918733346685,13.055794005428503,1.71738364916823,24
1.041718673937161,1.1209161778873815,0.63729011102433,0.18627500936999974,-70.6694019010338,13.055383695738,1.717338285602405,25
1.0417201860326033,1.1208912647891929,0.6372705161554142,0.18627588286004415,-70.66960163468029,13.054996589986429,1.7172955122355729,26
1.0417216164131784,1.1208676980150898,0.6372519305317847,0.1862767521279454,-70.66978744743776,13.05463133668279,1.717255176212879,27
1.0417229697741397,1.1208454002066477,0.6372342985312015,0.18627761514982522,-70.6699601964239,13.054286664986002,1.7172171339593902,28
1.0417242505378141,1.120824298502162,0.6372175675439443,0.18627847022251126,-70.6701206863566,13.053961379721931,1.7171812505930302,29
1.0417254628676376,1.1208043243053738,0.637201687855888,0.18627931591599303,-70.67026967283495,13.053654356735958,1.7171473993778397,30
1.0417266106822611,1.1207854130530663,0.637186612519576,0.18628015103432163,-70.67040786540421,13.053364538552518,1.7171154612140938,31
1.0417276976693648,1.1207675039874851,0.6371722972197649,0.18628097458376552,-70.67053593042274,13.05309093031149,1.7170853241623671,32
1.0417287272990183,1.1207505399361835,0.6371587001378141,0.18628178574642498,-70.67065449374212,13.05283259596484,1.717056882999023,33
1.0417297028364871,1.120734467101051,0.6371457818182166,0.1862825838576923,-70.67076414321443,13.052588654714556,1.7170300388006716,34
1.0417306273544096,1.1207192348576767,0.6371335050389205,0.18628336838703485,-70.67086543103895,13.052358277673726,1.7170046985555494,35
1.0417315037443418,1.120704795565143,0.6371218346865934,0.18628413892123202,-70.67095887595929,13.052140684736617,1.7169807747999408,36
1.0417323347276544,1.1206911043864771,0.6371107376374888,0.18628489514970478,-70.67104496532038,13.051935141643726,1.7169581852779108,37
1.041733122865798,1.1206781191195334,0.6371001826441832,0.18628563685160232,-70.671124156995,13.051740957228622,1.7169368526227722,38
1.0417338705699584,1.1206658000379195,0.6370901402282263,0.18628636388437417,-70.67119688118862,13.051557480834612,1.7169167040588023,39
1.0417345801101265,1.1206541097415381,0.6370805825785932,0.1862870761736641,-70.67126354213048,13.051384099890258,1.7168976711218085,40
1.041735253623617,1.1206430130162583,0.6370714834557781,0.1862877737043515,-70.67132451965838,13.0512202376338,1.7168796893972977,41
1.0417358931230603,1.1206324767022273,0.637062818101313,0.18628845651261045,-70.67138017070432,13.051065350976915,1.7168626982750768,42
